TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20230101,Sunday,1494000,2149000
20230102,Monday,1918000,2959000
20230103,Tuesday,2255000,4227000
20230104,Wednesday,2387000,4713000
20230105,Thursday,2519000,4830000
20230106,Friday,2517000,5148000
20230107,Saturday,2170000,3902000
20230108,Sunday,1552000,2675000
20230109,Monday,2750000,4853000
20230110,Tuesday,3173000,4783000
20230111,Wednesday,3283000,5036000
20230112,Thursday,3458000,4917000
20230113,Friday,3128000,5196000
20230114,Saturday,2622000,3942000
20230115,Sunday,1924000,2967000
20230116,Monday,2902000,4807000
20230117,Tuesday,3277000,5038000
20230118,Wednesday,3383000,5055000
20230119,Thursday,3533000,5000000
20230120,Friday,3215000,5141000
20230121,Saturday,2963000,4072000
20230122,Sunday,1992000,2917000
20230123,Monday,2914000,4958000
20230124,Tuesday,3390000,5051000
20230125,Wednesday,3492000,4993000
20230126,Thursday,3629000,5089000
20230127,Friday,3315000,5223000
20230128,Saturday,2969000,4196000
20230129,Sunday,1872000,2959000
20230130,Monday,2961000,4967000
20230131,Tuesday,3408000,5150000
20230201,Wednesday,2772000,4714000
20230202,Thursday,3415000,5133000
20230203,Friday,2957000,5328000
20230204,Saturday,2979000,4274000
20230205,Sunday,2015000,3159000
20230206,Monday,2995000,4956000
20230207,Tuesday,3430000,5110000
20230208,Wednesday,3489000,5139000
20230209,Thursday,3569000,5139000
20230210,Friday,3245000,5157000
20230211,Saturday,3026000,4147000
20230212,Sunday,2036000,3054000
20230213,Monday,3033000,4448000
20230214,Tuesday,3521000,4697000
20230215,Wednesday,3534000,4574000
20230216,Thursday,3539000,4503000
20230217,Friday,3252000,4635000
20230218,Saturday,2829000,4168000
20230219,Sunday,1908000,3156000
20230220,Monday,3009000,4903000
20230221,Tuesday,3479000,5170000
20230222,Wednesday,3575000,5185000
20230223,Thursday,3718000,5234000
20230224,Friday,3443000,5319000
20230225,Saturday,3111000,4334000
20230226,Sunday,2116000,3125000
20230227,Monday,3023000,4979000
20230228,Tuesday,3468000,5180000
20230301,Wednesday,3543000,5211000
20230302,Thursday,3587000,4995000
20230303,Friday,3327000,5288000
20230304,Saturday,3093000,4235000
20230305,Sunday,1936000,3053000
20230306,Monday,3035000,5006000
20230307,Tuesday,3483000,5135000
20230308,Wednesday,3483000,5008000
20230309,Thursday,3562000,5132000
20230310,Friday,3327000,5266000
20230311,Saturday,3040000,4312000
20230312,Sunday,2072000,3097000
20230313,Monday,3097000,5014000
20230314,Tuesday,3589000,5281000
20230315,Wednesday,411000,5514000
20230316,Thursday,2555000,5181000
20230317,Friday,3343000,5378000
20230318,Saturday,2769000,4508000
20230319,Sunday,2098000,3185000
20230320,Monday,3064000,5039000
20230321,Tuesday,3513000,5258000
20230322,Wednesday,3550000,5278000
20230323,Thursday,3673000,5261000
20230324,Friday,3342000,5270000
20230325,Saturday,2962000,4407000
20230326,Sunday,1925000,2945000
20230327,Monday,3003000,5013000
20230328,Tuesday,3443000,5062000
20230329,Wednesday,3467000,5155000
20230330,Thursday,3337000,5195000
20230331,Friday,3202000,5204000
20230401,Saturday,2907000,4145000
20230402,Sunday,2276000,3136000
20230403,Monday,3007000,4503000
20230404,Tuesday,3483000,4724000
20230405,Wednesday,3471000,4656000
20230406,Thursday,3468000,4694000
20230407,Friday,2497000,3981000
20230408,Saturday,2651000,4064000
20230409,Sunday,1790000,2900000
20230410,Monday,1770000,2929000
20230411,Tuesday,3098000,4503000
20230412,Wednesday,3293000,4456000
20230413,Thursday,3457000,4670000
20230414,Friday,3145000,4581000
20230415,Saturday,2871000,4229000
20230416,Sunday,1877000,3100000
20230417,Monday,2919000,4923000
20230418,Tuesday,3423000,5174000
20230419,Wednesday,3530000,5280000
20230420,Thursday,3803000,5403000
20230421,Friday,3389000,5144000
20230422,Saturday,3255000,4316000
20230423,Sunday,2478000,2975000
20230424,Monday,3145000,5086000
20230425,Tuesday,3605000,5371000
20230426,Wednesday,3704000,5320000
20230427,Thursday,3770000,5124000
20230428,Friday,3400000,5466000
20230429,Saturday,3140000,4668000
20230430,Sunday,2260000,3529000
20230501,Monday,2114000,3343000
20230502,Tuesday,3373000,5014000
20230503,Wednesday,3474000,5430000
20230504,Thursday,3598000,5403000
20230505,Friday,3310000,5447000
20230506,Saturday,2585000,3652000
20230507,Sunday,2204000,3443000
20230508,Monday,1865000,3113000
20230509,Tuesday,3276000,5284000
20230510,Wednesday,3482000,5361000
