TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20220706,Wednesday,3292000,4974000
20220707,Thursday,3357000,5013000
20220708,Friday,3086000,5063000
20220709,Saturday,2674000,4273000
20220710,Sunday,1973000,3192000
20220711,Monday,2702000,4602000
20220712,Tuesday,3023000,4733000
20220713,Wednesday,3096000,4806000
20220714,Thursday,3225000,4938000
20220715,Friday,2982000,4969000
20220716,Saturday,2564000,4231000
20220717,Sunday,1755000,3078000
20220718,Monday,2043000,3990000
20220719,Tuesday,1955000,3816000
20220720,Wednesday,2978000,4718000
20220721,Thursday,3145000,4687000
20220722,Friday,2854000,4628000
20220723,Saturday,2595000,4035000
20220724,Sunday,1848000,3079000
20220725,Monday,2646000,4198000
20220726,Tuesday,3069000,4374000
20220727,Wednesday,2460000,4580000
20220728,Thursday,3147000,4544000
20220729,Friday,3002000,4538000
20220730,Saturday,2583000,4214000
20220731,Sunday,1905000,2995000
20220801,Monday,2603000,4170000
20220802,Tuesday,2932000,4314000
20220803,Wednesday,2982000,4349000
20220804,Thursday,3082000,4398000
20220805,Friday,2791000,4548000
20220806,Saturday,2685000,3998000
20220807,Sunday,1900000,3021000
20220808,Monday,2560000,4139000
20220809,Tuesday,2900000,4257000
20220810,Wednesday,2971000,4257000
20220811,Thursday,2967000,4216000
20220812,Friday,2590000,3732000
20220813,Saturday,2391000,3912000
20220814,Sunday,1766000,2908000
20220815,Monday,2522000,4053000
20220816,Tuesday,3011000,4158000
20220817,Wednesday,3108000,4180000
20220818,Thursday,2399000,4574000
20220819,Friday,272000,4616000
20220820,Saturday,2019000,3928000
20220821,Sunday,1852000,2935000
20220822,Monday,2526000,4108000
20220823,Tuesday,2880000,4279000
20220824,Wednesday,2928000,4322000
20220825,Thursday,2873000,4214000
20220826,Friday,2750000,4465000
20220827,Saturday,2643000,3947000
20220828,Sunday,2052000,2937000
20220829,Monday,1950000,2937000
20220830,Tuesday,2738000,4301000
20220831,Wednesday,2987000,4397000
20220901,Thursday,2980000,4432000
20220902,Friday,2792000,4596000
20220903,Saturday,2650000,4134000
20220904,Sunday,1743000,3026000
20220905,Monday,2552000,4722000
20220906,Tuesday,2953000,4902000
20220907,Wednesday,3117000,5071000
20220908,Thursday,3253000,4982000
20220909,Friday,2941000,5051000
20220910,Saturday,2705000,4064000
20220911,Sunday,1932000,3086000
20220912,Monday,2740000,5035000
20220913,Tuesday,3198000,5147000
20220914,Wednesday,3380000,5147000
20220915,Thursday,3214000,5171000
20220916,Friday,3220000,5306000
20220917,Saturday,2934000,4202000
20220918,Sunday,2242000,3174000
20220919,Monday,1406000,1928000
20220920,Tuesday,3204000,5298000
20220921,Wednesday,3338000,5252000
20220922,Thursday,3501000,5341000
20220923,Friday,3213000,5307000
20220924,Saturday,2986000,4327000
20220925,Sunday,1984000,3139000
20220926,Monday,2968000,5033000
20220927,Tuesday,3280000,5212000
20220928,Wednesday,3442000,5327000
20220929,Thursday,3568000,5368000
20220930,Friday,3360000,5333000
20221001,Saturday,2868000,4781000
20221002,Sunday,2261000,3034000
20221003,Monday,3050000,5080000
20221004,Tuesday,3407000,5227000
20221005,Wednesday,2894000,5265000
20221006,Thursday,3660000,5367000
20221007,Friday,3542000,5415000
20221008,Saturday,2829000,4692000
20221009,Sunday,2276000,3258000
20221010,Monday,3121000,5084000
20221011,Tuesday,3515000,5304000
20221012,Wednesday,3600000,5269000
20221013,Thursday,3657000,5305000
20221014,Friday,3416000,5344000
20221015,Saturday,3195000,4380000
20221016,Sunday,2076000,3137000
20221017,Monday,3027000,5014000
20221018,Tuesday,3457000,5215000
20221019,Wednesday,3524000,5173000
20221020,Thursday,3649000,5096000
20221021,Friday,3300000,5143000
20221022,Saturday,3066000,4264000
20221023,Sunday,1975000,2910000
20221024,Monday,3060000,4469000
20221025,Tuesday,3451000,4600000
20221026,Wednesday,3591000,4633000
20221027,Thursday,3704000,4667000
20221028,Friday,3481000,4778000
20221029,Saturday,3160000,4443000
20221030,Sunday,2148000,3153000
20221031,Monday,3077000,5000000
20221101,Tuesday,3473000,5084000
20221102,Wednesday,3635000,5238000
20221103,Thursday,3537000,5100000
20221104,Friday,3412000,5350000
20221105,Saturday,2660000,4419000
20221106,Sunday,1944000,2855000
20221107,Monday,2716000,5096000
20221108,Tuesday,3432000,5250000
20221109,Wednesday,3361000,5285000
20221110,Thursday,461000,5900000
20221111,Friday,3172000,5620000
20221112,Saturday,3359000,4427000
20221113,Sunday,2125000,3152000
20221114,Monday,3101000,5073000
20221115,Tuesday,3516000,5132000
20221116,Wednesday,3646000,5316000
20221117,Thursday,3788000,5316000
20221118,Friday,3570000,5410000
20221119,Saturday,3330000,4375000
20221120,Sunday,2146000,3141000
20221121,Monday,3047000,4880000
20221122,Tuesday,3563000,5091000
20221123,Wednesday,3614000,5177000
20221124,Thursday,3760000,5239000
20221125,Friday,3639000,5243000
20221126,Saturday,3111000,4301000
20221127,Sunday,2120000,3044000
20221128,Monday,3140000,5016000
20221129,Tuesday,3509000,5180000
20221130,Wednesday,3628000,5218000
20221201,Thursday,3903000,5134000
20221202,Friday,3752000,5202000
20221203,Saturday,3478000,4218000
20221204,Sunday,2291000,3108000
20221205,Monday,3231000,5010000
20221206,Tuesday,3751000,5219000
20221207,Wednesday,3885000,5249000
20221208,Thursday,4032000,5264000
20221209,Friday,3802000,5083000
20221210,Saturday,3378000,4103000
20221211,Sunday,2289000,2929000
20221212,Monday,2695000,4679000
20221213,Tuesday,2680000,5115000
20221214,Wednesday,2791000,5211000
20221215,Thursday,3415000,5134000
20221216,Friday,2980000,5183000
20221217,Saturday,2680000,4124000
