Wave,SiteID,Date,Weather,Time,Day,Round,Direction,Path,Mode,Count
2023 W1 spring,ML1584,03/05/2023,Dry,06:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,03/05/2023,Dry,06:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,1
2023 W1 spring,ML1584,03/05/2023,Dry,06:30:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,6
2023 W1 spring,ML1584,03/05/2023,Dry,06:45:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,1
2023 W1 spring,ML1584,03/05/2023,Dry,07:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,0
2023 W1 spring,ML1584,03/05/2023,Dry,07:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,03/05/2023,Dry,07:30:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,9
2023 W1 spring,ML1584,03/05/2023,Dry,07:45:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,11
2023 W1 spring,ML1584,03/05/2023,Dry,08:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,3
2023 W1 spring,ML1584,03/05/2023,Dry,08:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,8
2023 W1 spring,ML1584,03/05/2023,Dry,08:30:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,7
2023 W1 spring,ML1584,03/05/2023,Dry,08:45:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,5
2023 W1 spring,ML1584,03/05/2023,Dry,09:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,03/05/2023,Dry,09:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,4
2023 W1 spring,ML1584,03/05/2023,Dry,09:30:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,03/05/2023,Dry,09:45:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,3
2023 W1 spring,ML1584,25/04/2023,Dry,10:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,1
2023 W1 spring,ML1584,25/04/2023,Dry,10:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,25/04/2023,Dry,10:30:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,3
2023 W1 spring,ML1584,25/04/2023,Dry,10:45:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,2
2023 W1 spring,ML1584,25/04/2023,Dry,11:00:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,1
2023 W1 spring,ML1584,25/04/2023,Dry,11:15:00,Weekday,A,Eastbound,n/a,Cycle hire bikes,6
